metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,ChartQA,,195,195,0,195,0,3.6451282051,3.6451282051,3.7138717949,3.6451282051,3.7138717949,195,176
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,ChemVQA-2K,,288,288,0,288,0,1.8125000000,1.8125000000,3.7640625000,1.8125000000,3.7640625000,288,274
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,DocVQA,,292,292,0,292,0,2.0698630137,2.0698630137,3.2589897260,2.0698630137,3.2589897260,292,229
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,EEE-Bench,,67,67,0,67,0,2.9955223881,2.9955223881,3.0089552239,2.9955223881,3.0089552239,67,53
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,GEOQA_8K_R1V,,73,73,0,73,0,3.4589041096,3.4589041096,3.5726027397,3.4589041096,3.5726027397,73,68
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,Geoperception,,137,137,0,137,0,3.4043795620,3.4043795620,3.4363503650,3.4043795620,3.4363503650,137,106
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,Graph-Algorithms,,161,161,0,161,0,3.2881987578,3.2881987578,3.6444099379,3.2881987578,3.6444099379,161,138
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,GraphVQA-Swift,,175,175,0,175,0,4.0851428571,4.0851428571,4.2688571429,4.0851428571,4.2688571429,175,161
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,OlympiadBench,,81,81,0,81,0,3.0419753086,3.0419753086,3.5179629630,3.0419753086,3.5179629630,81,70
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,Physics,,121,121,0,121,0,3.3165289256,3.3165289256,3.3884297521,3.3165289256,3.3884297521,121,111
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,dvqa,,161,161,0,161,0,4.3248447205,4.3248447205,4.3544720497,4.3248447205,4.3544720497,161,154
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,figureqa,,161,161,0,161,0,3.4993788820,3.4993788820,3.5993478261,3.4993788820,3.5993478261,161,138
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,geometry3k,,65,65,0,65,0,2.7215384615,2.7215384615,2.7355384615,2.7215384615,2.7355384615,65,41
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,matplotlib,,31,31,0,31,0,2.3516129032,2.3516129032,2.4443548387,2.3516129032,2.4443548387,31,22
main_benchmark,filtered_test,test,qwen35_397b_a17b_reasoning,spatialvlm_qa,,161,161,0,161,0,0.2627329193,0.2627329193,0.2900621118,0.2627329193,0.2900621118,161,43
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,ChartQA,,45,45,0,45,0,3.9133333333,3.9133333333,3.9673333333,3.9133333333,3.9673333333,45,43
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,ChemVQA-2K,,63,63,0,63,0,1.5873015873,1.5873015873,3.6976190476,1.5873015873,3.6976190476,63,57
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,DocVQA,,68,68,0,68,0,2.0676470588,2.0676470588,3.4785294118,2.0676470588,3.4785294118,68,56
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,EEE-Bench,,22,22,0,22,0,2.7227272727,2.7227272727,2.7056818182,2.7227272727,2.7056818182,22,17
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,GEOQA_8K_R1V,,21,21,0,21,0,3.5190476190,3.5190476190,3.5583333333,3.5190476190,3.5583333333,21,18
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Geoperception,,34,34,0,34,0,3.5147058824,3.5147058824,3.5169117647,3.5147058824,3.5169117647,34,27
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Graph-Algorithms,,39,39,0,39,0,3.0076923077,3.0076923077,3.4628205128,3.0076923077,3.4628205128,39,33
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,GraphVQA-Swift,,42,42,0,42,0,4.0333333333,4.0333333333,4.1952380952,4.0333333333,4.1952380952,42,38
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,OlympiadBench,,23,23,0,23,0,3.2652173913,3.2652173913,3.8415217391,3.2652173913,3.8415217391,23,21
main_benchmark,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Physics,,31,31,0,31,0,3.4161290323,3.4161290323,3.4137096774,3.4161290323,3.4137096774,31,28
